,"Unnamed: 0","ID","Tag","Name in English","Name in French","Name in Spanish","Countries","Country codes alpha 3","ISO639-3 codes","Degree of endangerment","Alternate names","Name in the language","Number of speakers","Sources","Latitude","Longitude","Official Language","Description of the location","Description","SearchTerm"
10,2159,369,"id369","Karaim (Western Ukraine)","karaïm (Ukraine occidentale)","karaím (Ucrania occidental)","Ukraine","UKR","kdr","Critically endangered",,,6,"Éva Ágnes Csató: Karaim. — Minor languages of Europe. Thomas Stolz (ed.). Bochum-Essener Beiträge zur Sprachwandelforschung 30, Bochum: Brockmeyer, 2001.",50.7538,25.3351,,"towns of Luts’k (Lutsk) and Halych (Galich)","The Karaim language (Crimean dialect: къарай тили, Trakai dialect: karaj tili, Turkish dialect: karay dili, traditional Hebrew name lashon kedar לשון קדר ""language of the nomads"") is a Turkic language with Hebrew influences, in a similar manner to Yiddish or Ladino. It is spoken by only a few dozen Karaims (Qrimqaraylar) in Lithuania, Poland and Crimea and Galicia in Ukraine. The three main dialects are those of Crimea, Trakai-Vilnius and Lutsk-Halych all of which are critically endangered.","Karaim language"
11,2354,358,"id358","Gothic",,,"Ukraine","UKR",,"Extinct",,,0,,44.653,33.8598,,"the Crimea","Gothic is an extinct Germanic language that was spoken by the Goths. It is known primarily from the Codex Argenteus, a 6th-century copy of a 4th-century Bible translation, and is the only East Germanic language with a sizable text corpus. All others, including Burgundian and Vandalic, are known, if at all, only from proper names that survived in historical accounts, and from loanwords in other languages such as Portuguese, Spanish and French.","Gothic language"
12,2378,341,"id341","Karaim (Crimea)","karaïm (Crimée)","karaím (Crimea)","Ukraine","UKR","kdr","Extinct",,,0,"Éva Ágnes Csató: Karaim. — Minor languages of Europe. Thomas Stolz (ed.). Bochum-Essener Beiträge zur Sprachwandelforschung 30, Bochum: Brockmeyer, 2001.",45.058,33.9477,,"Yevpatoriya region","The Karaim language (Crimean dialect: къарай тили, Trakai dialect: karaj tili, Turkish dialect: karay dili, traditional Hebrew name lashon kedar לשון קדר ""language of the nomads"") is a Turkic language with Hebrew influences, in a similar manner to Yiddish or Ladino. It is spoken by only a few dozen Karaims (Qrimqaraylar) in Lithuania, Poland and Crimea and Galicia in Ukraine. The three main dialects are those of Crimea, Trakai-Vilnius and Lutsk-Halych all of which are critically endangered.","Karaim language"
13,2572,1335,"id1335","Crimean Turkish","turc de Crimée","turco crimeano","Ukraine","UKR",,"Severely endangered","крымскоосманский; крымско-турецкий; крымскотурецкий",,,"С. Р. Изидинова: Крымскотатарский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",44.6764,34.3267,,"originally spoken in a number of villages in the Yalta region along the southern shores of the Crimea, but the speakers were deported to Central Asia after the Second World War; an outlying dialect of Turkish not listed at all by the SIL","Crimean Tatar (Crimean Tatar: Къырымтатарджа Qırımtatarca, Къырымтатар тили Qırımtatar tili), also called Crimean Turkish or simply Crimean, is a language spoken for centuries in Crimea. It is a Turkic language spoken in Crimea and the Crimean Tatar diasporas of Uzbekistan, Turkey, Romania and Bulgaria, as well as small communities in the United States and Canada. It should not be confused with Tatar proper, spoken in Tatarstan and adjacent regions in Russia; the languages are related but not mutually intelligible.","Crimean Tatar language"
14,2642,348,"id348","Nogay (Crimea)","nogaï (Crimée)","nogái (Crimea)","Ukraine","UKR","nog","Severely endangered",,,,"Н. А. Баскаков: Ногайский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 328–335.",45.9435,33.9477,,"before the deportations to Central Asia after the Second World War around Perekop in the northern steppe area of the Crimea; Nogay in the Crimea and Dobruja subsumed under Crimean Tatar [crh] by the SIL","Each of the three subethnic groups of the Crimean Tatars has its own dialect. The dialect of the Nogays, the former inhabitants of the Crimean steppe (should not be confused with Nogai people), is of Kypchak–Nogay origin.","Crimean Tatar language"
15,2708,1336,"id1336","Urum","urum","urumo","Georgia, Russian Federation, Ukraine","GEO, RUS, UKR","uum","Definitely endangered","Greek Tatar",,,"Baruch Podolsky: Notes on the Urum language. Mediterranean Language Review 2 (1985): 99–112. Baruch Podolsky: Notes on the Urum (Greek-Tatar) language. Rocznik orientalistyczny 44, 2 (1985): 59–66.",47.0102,36.7822,,"originally the south of the Crimea, now a few villages in Donets’k (Donetsk) Province in the southeast of the Ukraine and some places, notably Trialeti, in Georgia and perhaps elsewhere in the Caucasus; an outlying dialect of (Crimean) Turkish","Urum is a Turkic language spoken by several thousand ethnic Greeks who inhabit a few villages in Georgia and Southeastern Ukraine. The Urum language is often considered a variant of Crimean Tatar. The name Urum is derived from Rûm (""Rome""), the term for the Byzantine Empire in the Muslim world.","Urum language"
16,2716,428,"id428","Yiddish (Europe)","yiddish (Europe)","yiddish (Europa)","Germany, Austria, Belarus, Belgium, Denmark, Estonia, Finland, France, Hungary, Italy, Latvia, Lithuania, Luxembourg, Republic of Moldova, Norway, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Sweden, Switzerland, Czech Republic, Ukraine","DEU, AUT, BLR, BEL, DNK, EST, FIN, FRA, HUN, ITA, LVA, LTU, LUX, MDA, NOR, NLD, POL, ROU, GBR, RUS, SVK, SWE, CHE, CZE, UKR","ydd","Definitely endangered","Judeo-German",,,"Neil G. Jacobs: Yiddish: a linguistic introduction. Cambridge: Cambridge University Press, 2005.",53.3571,25.2465,,"earlier spoken in large areas mainly in Eastern and East-Central Europe, currently spoken in a few places in Belarus and the Ukraine and in various urban communities, e.g. in Antwerp and London","Yiddish (ייִדיש, יידיש or אידיש, yidish/idish, lit. ""Jewish"", pronounced [ˈjɪdɪʃ] [ˈɪdɪʃ]; in older sources ייִדיש-טײַטש Yidish-Taitsh, lit. Judaeo-German)) is the historical language of the Ashkenazi Jews.","Yiddish"
17,22,1476,"id1476","West Flemish","flamand occidental","flamenco occidental","Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea","Vulnerable","Western Flemish; Zeelandic (Zeêuws)",,1500000,"Devos, M.& Vandekerckhove, R. (2006). Taal in stad en land WEST-VLAAMS, Lannoo, 170 pp.
Streektaal.net http://taal.phileon.nl/index.php
",51.0275,3.0541,,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered","West Flemish (Dutch: West-Vlaams, French: flamand occidental) is a dialect of the Dutch language spoken in western Belgium and adjoining parts of the Netherlands and France. West Flemish is spoken by about a million people in the Belgian province of West Flanders, and a further 120,000 in the neighbouring Dutch coastal district of Zeelandic Flanders (and another 220,000 if Zealandic is included), and 10,000 in the northern part of the French département of Nord. Some of the main cities where West Flemish is widely spoken are Bruges, Kortrijk, Ostend, Roeselare, and Ypres.","West Flemish"
18,30,377,"id377","Ligurian","ligurien","ligur","France, Italy, Monaco","FRA, ITA, MCO","lij","Definitely endangered","Monégasque (dialect)",,1000000,,44.5748,8.7011,,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France","Ligurian (ligure or lengua ligure) is a Gallo-Romance language spoken in Liguria in Northern Italy, parts of the Mediterranean coastal zone of France, Monaco and in the villages of Carloforte and Calasetta in Sardinia. It is part of the Western Romance language continuum. The Genoese (Zeneise), spoken in Genoa, the capital of Liguria, is the language's prestige dialect on which the standard is based.","Ligurian language (ancient)"
19,48,398,"id398","Picard","picard","picardo","Belgium, France","BEL, FRA","pcd","Severely endangered","ch’ti, ch’timi, rouchi",,700000,"Jean-Michel Eloy: Le picard, langue d'oïl http://www.encyclopedie.picardie.fr/index.php/Le_picard,_langue_d%27o%C3%AFl",50.2331,2.7905,,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium","Picard is a language or a set of languages closely related to French, and as such is one of the larger group of Romance languages. It is spoken in one region in the far north of France (Hauts-de-France) and in parts of the Belgian region of Wallonia, the district of Tournai (Wallonie Picarde) and a part of the district of Mons (toward Tournai and the Belgian border).","Picard language"
20,50,415,"id415","Basque","basque","euskera","Spain, France","ESP, FRA","eus","Vulnerable",,"euskara",660000,"R. L. Trask: The history of Basque. London: Routledge, 1997. | José Ignacio Hualde & Jon Ortiz de Urbina: A grammar of Basque. Mouton Grammar Library 26; Berlin: Mouton de Gruyter, 2003.",43.133,-2.0764,,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France","Basque (/bæsk/ or /bɑːsk/; Basque: Euskara, IPA: [eus̺ˈkaɾa]) is the language spoken by the Basques. Linguistically, Basque is unrelated to the other languages of Europe and indeed, as a language isolate, any other known language. The Basques are indigenous to, and primarily inhabit, the Basque Country, a region that straddles the westernmost Pyrenees in adjacent parts of northern Spain and southwestern France.","Basque language"
21,55,1947,"id1947","Walloon","wallon","valón","Belgium, France, Luxembourg","BEL, FRA, LUX","wln","Definitely endangered",,,600000,,50.4575,4.8559,,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s","Walloon (Walon in Walloon) is a Romance language that was spoken as a primary language in large portions (70%) of Wallonia in Belgium, in some villages of Northern France (near Givet) and in the northeast part of Wisconsin until the mid 20th century and in some parts of Sweden. It belongs to the langue d'oïl language family, whose most prominent member is the French language. The historical background of its formation was the territorial extension since 980 of the Principality of Liège to the south and west.","Walloon language"
22,62,375,"id375","Languedocian","languedocien","languedociano","France","FRA","oci","Severely endangered","occitan languedocien; langadocian","lengadocian",500000,,43.8899,2.5378,,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds","Languedocien (French name) or Lengadocian (native name) is an Occitan dialect spoken in rural parts of southern France such as Languedoc, Rouergue, Quercy, Agenais and Southern Périgord. Due to its central position among the dialects of Occitan, it is often used as a basis for a Standard Occitan. About 10% of the population of Languedoc are fluent in the language, and another 20% ""have some understanding"" of the language.","Languedocien dialect"
23,79,378,"id378","Limousin","limousin","lemosín","France","FRA","oci","Severely endangered","occitan limousin","lemosin",400000,,46.0579,1.8017,,"the departments of Corréze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds","Limousin (Occitan: Lemosin) is a dialect of the Occitan language, spoken in the three departments of Limousin, parts of Charente and the Dordogne in the southwest of France. The first Occitan documents are in an early form of this dialect, particularly the Boecis, written around the year 1000. Limousin is used primarily by people over age 50 in rural communities.","Limousin dialect"
24,83,424,"id424","Moselle Franconian","francique mosellan","franconio del Mosela","Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX","ltz","Vulnerable","Luxembourgish; Luxemburgian; luxembourgeois; люксембургский","Lëtzebuergesch",390000,,49.6071,6.1248,,"Luxembourg and adjacent regions of neighbouring countries","Moselle Franconian (German Moselfränkisch) is a group of West Central German dialects, part of the Central Franconian language area. They are spoken in the southern Rhineland and along the course of the Moselle River, in the Siegerland in the German state of North Rhine-Westphalia, throughout western Rhineland-Palatinate and Saarland, in the south of the German-speaking Community of Belgium and in the neighbouring French département of Moselle (in Arrondissement of Boulay-Moselle).","Moselle Franconian dialects"
25,104,336,"id336","Breton","breton","bretón","France","FRA","bre","Severely endangered","brezhoneg",,250000,"Fañch Broudic : Parler breton au XXIe siècle
Emgleo Breiz publishing company (2009)
ISBN 978-2-911210-91-3.",48.2246,-3.9331,,"western Brittany; many émigré communities","Breton /ˈbrɛtən/ (Brezhoneg IPA: [bʁe.ˈzõː.nɛk] or IPA: [brə.hõ.ˈnek] in Morbihan) is a Southwestern Brittonic Celtic language spoken in Brittany. Breton was brought from Great Britain to Armorica by migrating Britons during the Early Middle Ages; it is thus an Insular Celtic language, and as such not closely related to the Continental Celtic Gaulish language which had been spoken in pre-Roman Gaul. Breton is most closely related to Cornish, both being Southwestern Brittonic languages.","Breton language"
26,105,352,"id352","Gascon","gascon","gascón","Spain, France","ESP, FRA","oci","Definitely endangered","occitan gascon; local name in Catalonia: Aranese; dialect: béarnais","gascon",250000,,43.1811,-0.1428,,"the departments of Landes, Gers, and Hautes-Pyrénées, the eastern parts of Pyrénées-Atlantiques, the western parts of Haute-Garonne and Ariège, and the southern and western parts of Gironde, France; the Aran Valley, northwestern Catalonia, Spain; the original ISO code [gsc] for Gascon has been retired on false grounds","Gascon (Occitan: [ɡasˈku], French: [ɡaskɔ̃]) is a dialect of Occitan. It is mostly spoken in Gascony and Béarn in southwestern France (in parts of the following French départements: Pyrénées-Atlantiques, Hautes-Pyrénées, Landes, Gers, Gironde, Lot-et-Garonne, Haute-Garonne, and Ariège) and in the Aran Valley of Catalonia. It has about 250,000 speakers worldwide.","Gascon language"
27,117,365,"id365","Alpine Provençal","provençal alpin","provenzal alpino","France, Italy","FRA, ITA","oci","Definitely endangered","occitan alpin (fr); vivaro-alpin (fr); gavot (fr)","provençau aupenc",200000,,44.7467,6.6796,,"the upper valleys of Piedmont (Val Mairo, Val Varacho, Val d’Esturo, Entraigas, Limoun, Vinai, Pignerol, Sestriero), Italy; the departments of Ardèche (except the north and the western border areas), Drôme (except the north), Hautes-Alpes, the northern parts of Alpes de Haute-Provence, and the southernmost parts of Isère, France; severely endangered in France; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds","Vivaro-Alpine (Occitan: vivaroalpenc, vivaroaupenc) is a variety of Occitan spoken in southeastern France (namely, around the Dauphiné area) and northwestern Italy (the Occitan Valleys of Piedmont and Liguria). There is also a small Vivaro-Alpine enclave in the Guardia Piemontese, Calabria, where the language is known as gardiòl. It belongs to the Northern Occitan dialect block, along with Auvergnat and Limousin.","Vivaro Alpine dialect"
28,118,355,"id355","Gallo","gallo","gallo","France","FRA","fra","Severely endangered","angevin (dialect)","galo",200000,"« Pratiques et représentations de la langue et de la culture régionales en Haute Bretagne », Rapport de recherche, Par André Le Coq & Philippe Blanchet, Centre de Recherche sur la Diversité Linguistique de la Francophonie - 2006
http://www.uhb.fr/alc/erellif/credilif/Textes/RapportGallo1.pdf

Association Chubri (Bèrtran Ôbrée) - http://www.chubri.org",47.931,-2.0544,,"Ille-et-Vilaine, Loire-Atlantique, dans les deux tiers est des Côtes d'Armor et dans le tiers Est du Morbihan.","Gallo is a regional language of France. It is not as commonly spoken as it once was, as the standard form of French now predominates. Gallo is classified as one of the Oïl languages.","Gallo language"
29,136,340,"id340","Corsican","corse","corso","France, Italy","FRA, ITA","cos","Definitely endangered",,,160000,"Jean Sibille: Les langues régionales. Dominos 220; [Paris]: Flammarion, 2000.",42.0819,9.0307,,"Corsica (Corse); also spoken on Maddalena Island off the northeast coast of Sardinia and in many émigré communities","Corsican (corsu or lingua corsa) is a Romance language within the Italo-Dalmatian subfamily and is closely related to the Italian language. It is spoken and written on the islands of Corsica (France) and northern Sardinia (Italy). Corsican was long the vernacular alongside Italian, the official language in Corsica until 1859; afterwards Italian was replaced by French, owing to the acquisition of the island by France from the Republic of Genoa in 1768.","Corsican language"
30,142,404,"id404","Provençal","provençal","provenzal","France","FRA","oci","Severely endangered","occitan provençal","provençau",150000,,43.5485,6.1083,,"the departments of Alpes-Maritimes (except the eastern corner), Bouches-du-Rhône, Var, and Vaucluse, the southern parts of Alpes de Haute-Provence, and the eastern parts of Gard; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds","Provençal /prɒvɒnˈsæl/ (Occitan: Provençau or Prouvençau [pʀuveⁿˈsaw]) is a variety of Occitan spoken by a minority of people in southern France, mostly in Provence. In the English-speaking world, the term ""Provençal"" has historically also been used to refer to all of Occitan, but is now mainly understood to refer to the variety spoken in Provence. ""Provençal"" (with ""Limousin"") is also the customary name given to the older version of the langue d'oc used by the troubadours of medieval literature, while Old French or the langue d'oïl was limited to the northern areas of France.","Provençal dialect"
31,169,366,"id366","Francoprovençal","francoprovençal","francoprovenzal","France, Italy, Switzerland","FRA, ITA, CHE","frp","Definitely endangered","Arpitan; Harpitan",,100000,,45.7828,6.9982,,"Savoy (Savoie and Haute-Savoie), Ain (mainly in the region of Bresse), Rhône, Loire, the northern and central parts of Isère, and the southern parts of the departments of Jura and Doubs, France; formely also the northernmost parts of Ardèche and Drôme; the Aosta Valley and the Alpine valleys to the north and east of Val di Susa in Piedmont, Italy; mountain villages of Valais and Fribourg, perhaps also Vaud, Switzerland; formerly all of Suisse romande except the Canton of Jura; now most actively used in the village of Evolène in Valais; severely endangered in France and Switzerland, perhaps also in Italy","Franco-Provençal (Francoprovençal), Arpitan or Romand (in Switzerland) (Franco-Provençal: francoprovençâl, arpetan, patouès; Italian: francoprovenzale, arpitano; French: francoprovençal, arpitan, patois) is a Gallo-Romance language spoken in east-central France, western Switzerland, northwestern Italy, and in enclaves in the Province of Foggia in Apulia, Italy. Franco-Provençal has several distinct dialects and is separate from but closely related to neighboring Romance languages: Oïl languages, Occitan, Gallo-Italian, and Romansh.","Franco-Provençal language"
